FundLongName;ValorSymbol;FundReutersTicker;FundBloombergTicker;ValorNumber;ISIN;IssuerLongNameDesc;IssuerNameFull;TradingBaseCurrency;FundCurrency;ManagementFee;ReplicationMethodDesc;ManagementStyleDesc;MarketMakers;ClosingPrice;ClosingPerformance;ClosingDelta;FundUnderlyingDescription;BidVolume;BidPrice;AskVolume;AskPrice;MidSpread;PreviousClosingPrice;MarketDate;MarketTime;OpeningPrice;OpeningPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;ProductLineDesc;AssetClassDesc;UnderlyingGeographicalDesc;LegalStructureCountryDesc;UnderlyingProviderDesc
21Shares Bitcoin Suisse Index ETP;ABBA;ABBA.S ;ABBA SE ;49648464;CH0496484640;21Shares AG;21Shares AG;CHF;CHF;2.5;Unknown;passive;Flow Traders B.V.;7.335;-2.07;-0.155;Amun Bitcoin Suisse Index ;0;;630;9;;7.49;20221219;192200;;;;0;0;3593.67;3593.67;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Bitwise Select 10 Large Cap Crypto Index ETP;KEYS;KEYS.S;KEYS SE;47598631;CH0475986318;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.;7.32;-2.57;-0.193;Bitwise Select 10 Large Cap Crypto;0;;100;30;;7.513;20221219;192200;7.296;7.296;7.296;979;0;29490.78;27464.76;Exchange Traded Product;Crypto;Global;Switzerland;Bitwise
21Shares Bytetree BOLD ETP (BOLD);BOLD;BOLD.S;BOLD SE;114688230;CH1146882308;21Shares AG;21Shares AG;CHF;USD;1.49;Physical;passive;Flow Traders B.V.;15.432;0.04;0.006;N/A;0;;0;;;15.426;20221219;192200;15.432;15.432;15.432;200;0;3086.4;3086.4;Exchange Traded Product;Crypto;Switzerland;Switzerland;21Shares
21Shares Bytetree BOLD ETP (BOLD);BOLD;BOLD.S;BOLD SE;114688230;CH1146882308;21Shares AG;21Shares AG;EUR;USD;1.49;Physical;passive;Flow Traders B.V.;15.572;-0.12;-0.018;N/A;0;;0;;;15.59;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Switzerland;Switzerland;21Shares
21Shares Bytetree BOLD ETP (BOLD);BOLD;BOLD.S;BOLD SE;114688230;CH1146882308;21Shares AG;21Shares AG;GBP;USD;1.49;Physical;passive;Flow Traders B.V.;13.58;-0.1;-0.014;N/A;0;;0;;;13.594;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Switzerland;Switzerland;21Shares
21Shares Bytetree BOLD ETP (BOLD);BOLD;BOLD.S;BOLD SE;114688230;CH1146882308;21Shares AG;21Shares AG;USD;USD;1.49;Physical;passive;Flow Traders B.V.;16.518;-0.34;-0.056;N/A;0;;0;;;16.574;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Switzerland;Switzerland;21Shares
21Shares Cardano ETP;AADA;AADA.S;AADA SE;110272875;CH1102728750;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;4.788;-12.87;-0.707;vinter;0;;0;;;5.495;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Cardano ETP;AADA;AADA.S;AADA SE;110272875;CH1102728750;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;4.2285;-7.97;-0.366;vinter;0;;0;;;4.5945;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Cardano ETP;AADA;AADA.S;AADA SE;110272875;CH1102728750;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;5.15;-8;-0.448;vinter;400;5;152;9.4;61.1111;5.598;20221219;192200;5.196;5.196;5.15;19212;0;99198.67;92383.72;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Cosmos ETP (ATOM);ATOM;ATOM.S ;ATOM SE ;114593099;CH1145930991;21Shares AG;21Shares AG;CHF;USD;2.5;Physical;passive;Flow Traders B.V.;4.291;-2.28;-0.1;N/A;0;;0;;;4.391;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
