FundLongName;ValorSymbol;FundReutersTicker;FundBloombergTicker;ValorNumber;ISIN;IssuerLongNameDesc;IssuerNameFull;TradingBaseCurrency;FundCurrency;ManagementFee;ReplicationMethodDesc;ManagementStyleDesc;MarketMakers;ClosingPrice;ClosingPerformance;ClosingDelta;FundUnderlyingDescription;BidVolume;BidPrice;AskVolume;AskPrice;MidSpread;PreviousClosingPrice;MarketDate;MarketTime;OpeningPrice;OpeningPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;ProductLineDesc;AssetClassDesc;UnderlyingGeographicalDesc;LegalStructureCountryDesc;UnderlyingProviderDesc
21Shares Bitcoin Suisse Index ETP;ABBA;ABBA.S ;ABBA SE ;49648464;CH0496484640;21Shares AG;21Shares AG;CHF;CHF;2.5;Unknown;passive;Flow Traders B.V.;7.49;-4.45;-0.349;Amun Bitcoin Suisse Index ;0;;630;9;;7.839;20221216;;7.487;7.487;7.487;350;0;2621.05;2621.05;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Bitwise Select 10 Large Cap Crypto Index ETP;KEYS;KEYS.S;KEYS SE;47598631;CH0475986318;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.;7.513;-3.28;-0.255;Bitwise Select 10 Large Cap Crypto;0;;100;30;;7.768;20221216;;7.512;7.512;7.5;982;0;7375.4;6839.21;Exchange Traded Product;Crypto;Global;Switzerland;Bitwise
21Shares Bytet ree BOLD ETP (BOLD);BOLD;BOLD.S;BOLD SE;114688230;CH1146882308;21Shares AG;21Shares AG;CHF;USD;1.49;Physical;passive;Flow Traders B.V.;15.426;0;0;N/A;0;;0;;;15.426;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Switzerland;Switzerland;21Shares
21Shares Bytetree BOLD ETP (BOLD);BOLD;BOLD.S;BOLD SE;114688230;CH1146882308;21Shares AG;21Shares AG;EUR;USD;1.49;Physical;passive;Flow Traders B.V.;15.59;0;0;N/A;0;;0;;;15.59;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Switzerland;Switzerland;21Shares
21Shares Bytetree BOLD ETP (BOLD);BOLD;BOLD.S;BOLD SE;114688230;CH1146882308;21Shares AG;21Shares AG;GBP;USD;1.49;Physical;passive;Flow Traders B.V.;13.594;0;0;N/A;0;;0;;;13.594;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Switzerland;Switzerland;21Shares
21Shares Bytetree BOLD ETP (BOLD);BOLD;BOLD.S;BOLD SE;114688230;CH1146882308;21Shares AG;21Shares AG;USD;USD;1.49;Physical;passive;Flow Traders B.V.;16.574;-0.18;-0.03;N/A;0;;0;;;16.604;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Switzerland;Switzerland;21Shares
21Shares Cardano ETP;AADA;AADA.S;AADA SE;110272875;CH1102728750;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;5.495;-0.47;-0.026;vinter;0;;0;;;5.521;20221216;;5.495;5.495;5.495;19;0;104.41;104.41;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Cardano ETP;AADA;AADA.S;AADA SE;110272875;CH1102728750;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;4.5945;-5.55;-0.27;vinter;0;;0;;;4.8645;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Cardano ETP;AADA;AADA.S;AADA SE;110272875;CH1102728750;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;5.598;-5.38;-0.318;vinter;1064;4.7;152;9.4;66.6667;5.916;20221216;;5.915;5.915;5.582;9520;0;54433.44;50476.13;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Cosmos ETP (ATOM);ATOM;ATOM.S ;ATOM SE ;114593099;CH1145930991;21Shares AG;21Shares AG;CHF;USD;2.5;Physical;passive;Flow Traders B.V.;4.391;-5.69;-0.265;N/A;0;;0;;;4.656;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
21Shares Cosmos ETP (ATOM);ATOM;ATOM.S ;ATOM SE ;114593099;CH1145930991;21Shares AG;21Shares AG;EUR;USD;2.5;Physical;passive;Flow Traders B.V.;4.442;-5.61;-0.264;N/A;0;;0;;;4.706;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
21Shares Cosmos ETP (ATOM);ATOM;ATOM.S ;ATOM SE ;114593099;CH1145930991;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;4.706;-5.59;-0.2785;N/A;0;;0;;;4.9845;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
21Shares Crypto Basket 10 ETP;HODLX;HODLX.S;HODLX SE;113520217;CH1135202179;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;6.9;-4.07;-0.293;Vinter;1500;5.9;200;16;92.2374;7.193;20221216;;6.9;6.9;6.9;1000;0;6900;6900;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket 10 ETP;HODLX;HODLX.S;HODLX SE;113520217;CH1135202179;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;6.1;-3.72;-0.236;Vinter;0;;0;;;6.336;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket 10 ETP;HODLX;HODLX.S;HODLX SE;113520217;CH1135202179;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;7.425;-3.71;-0.286;Vinter;0;;0;;;7.711;20221216;;7.463;7.463;7.425;298;0;2223.21;2061.58;Exchange Traded Product;Crypto;Global;Switzerland;N/A
